Meta Data,Time Series (5min)
"Intraday (5min) open, high, low, close prices and volume",
SPY,
2009-01-30 19:55:00,
5min,
Full size,
US/Eastern,
,"{'1. open': '62.5940', '2. high': '62.6740', '3. low': '62.2250', '4. close': '62.4440', '5. volume': '4773390'}"
,"{'1. open': '62.8950', '2. high': '62.9830', '3. low': '62.3380', '4. close': '62.5190', '5. volume': '4947044'}"
,"{'1. open': '62.8870', '2. high': '62.9980', '3. low': '62.6230', '4. close': '62.8120', '5. volume': '3187156'}"
,"{'1. open': '63.0830', '2. high': '63.1860', '3. low': '62.6150', '4. close': '62.8040', '5. volume': '3770512'}"
,"{'1. open': '63.3460', '2. high': '63.4270', '3. low': '62.9150', '4. close': '63.0000', '5. volume': '3099660'}"
,"{'1. open': '63.0980', '2. high': '63.4270', '3. low': '62.9370', '4. close': '63.2770', '5. volume': '2737260'}"
,"{'1. open': '63.0380', '2. high': '63.2610', '3. low': '62.8780', '4. close': '63.0070', '5. volume': '3639686'}"
,"{'1. open': '63.4210', '2. high': '63.4960', '3. low': '62.8850', '4. close': '62.9620', '5. volume': '3622015'}"
,"{'1. open': '63.4580', '2. high': '63.6070', '3. low': '63.1770', '4. close': '63.3370', '5. volume': '3136572'}"
,"{'1. open': '63.3990', '2. high': '63.5320', '3. low': '63.0500', '4. close': '63.3670', '5. volume': '3280604'}"
,"{'1. open': '63.2780', '2. high': '63.5400', '3. low': '63.1100', '4. close': '63.3150', '5. volume': '2420286'}"
,"{'1. open': '63.3530', '2. high': '63.4940', '3. low': '63.0800', '4. close': '63.1870', '5. volume': '3217087'}"
,"{'1. open': '63.6540', '2. high': '63.7200', '3. low': '63.0650', '4. close': '63.2700', '5. volume': '4330090'}"
,"{'1. open': '63.5340', '2. high': '63.7650', '3. low': '63.3420', '4. close': '63.5700', '5. volume': '2376781'}"
,"{'1. open': '63.6990', '2. high': '63.8180', '3. low': '63.3200', '4. close': '63.4430', '5. volume': '3667203'}"
,"{'1. open': '63.5790', '2. high': '63.8180', '3. low': '63.3060', '4. close': '63.6230', '5. volume': '2244962'}"
,"{'1. open': '63.5410', '2. high': '63.8100', '3. low': '63.3800', '4. close': '63.4950', '5. volume': '3314612'}"
,"{'1. open': '63.4890', '2. high': '63.6370', '3. low': '63.2900', '4. close': '63.4580', '5. volume': '2431503'}"
,"{'1. open': '63.5490', '2. high': '63.6150', '3. low': '63.2220', '4. close': '63.4050', '5. volume': '3355812'}"
,"{'1. open': '63.6920', '2. high': '63.8560', '3. low': '63.3570', '4. close': '63.4730', '5. volume': '3184834'}"
,"{'1. open': '63.7290', '2. high': '63.8480', '3. low': '63.5070', '4. close': '63.6080', '5. volume': '3588343'}"
,"{'1. open': '63.4890', '2. high': '63.8630', '3. low': '63.3270', '4. close': '63.6450', '5. volume': '3480651'}"
,"{'1. open': '63.5640', '2. high': '63.6520', '3. low': '63.2670', '4. close': '63.4050', '5. volume': '2159238'}"
,"{'1. open': '63.6240', '2. high': '63.6900', '3. low': '63.3270', '4. close': '63.4730', '5. volume': '1702072'}"
,"{'1. open': '63.6840', '2. high': '63.7500', '3. low': '63.4250', '4. close': '63.5330', '5. volume': '1101340'}"
,"{'1. open': '63.5340', '2. high': '63.7880', '3. low': '63.3800', '4. close': '63.6000', '5. volume': '2535438'}"
,"{'1. open': '63.4740', '2. high': '63.6370', '3. low': '63.2900', '4. close': '63.4500', '5. volume': '2605248'}"
,"{'1. open': '63.3830', '2. high': '63.5320', '3. low': '63.1850', '4. close': '63.3790', '5. volume': '2673545'}"
,"{'1. open': '63.6010', '2. high': '63.7500', '3. low': '63.2150', '4. close': '63.2920', '5. volume': '3220395'}"
,"{'1. open': '63.6690', '2. high': '63.7390', '3. low': '63.3950', '4. close': '63.5180', '5. volume': '2161307'}"
,"{'1. open': '63.6920', '2. high': '63.8100', '3. low': '63.4770', '4. close': '63.5850', '5. volume': '1624487'}"
,"{'1. open': '63.6540', '2. high': '63.8330', '3. low': '63.4700', '4. close': '63.6000', '5. volume': '2811291'}"
,"{'1. open': '63.5710', '2. high': '63.7280', '3. low': '63.3800', '4. close': '63.5700', '5. volume': '2654093'}"
,"{'1. open': '63.5410', '2. high': '63.6670', '3. low': '63.3350', '4. close': '63.4880', '5. volume': '2589563'}"
,"{'1. open': '63.6990', '2. high': '63.8710', '3. low': '63.3420', '4. close': '63.4580', '5. volume': '3011730'}"
,"{'1. open': '63.6920', '2. high': '63.8330', '3. low': '63.4920', '4. close': '63.6150', '5. volume': '2545471'}"
,"{'1. open': '63.7970', '2. high': '63.8710', '3. low': '63.4700', '4. close': '63.6080', '5. volume': '2946939'}"
,"{'1. open': '63.8420', '2. high': '64.1490', '3. low': '63.6350', '4. close': '63.7130', '5. volume': '2371992'}"
,"{'1. open': '63.7970', '2. high': '63.9160', '3. low': '63.5900', '4. close': '63.7500', '5. volume': '2001272'}"
,"{'1. open': '63.8870', '2. high': '63.9620', '3. low': '63.6350', '4. close': '63.7050', '5. volume': '1430887'}"
,"{'1. open': '63.6920', '2. high': '64.0140', '3. low': '63.5220', '4. close': '63.8100', '5. volume': '3222343'}"
,"{'1. open': '63.7820', '2. high': '63.9310', '3. low': '63.5220', '4. close': '63.6080', '5. volume': '2770959'}"
,"{'1. open': '64.0220', '2. high': '64.0890', '3. low': '63.6200', '4. close': '63.6980', '5. volume': '2536890'}"
,"{'1. open': '63.9620', '2. high': '64.1110', '3. low': '63.7850', '4. close': '63.9380', '5. volume': '2453972'}"
,"{'1. open': '64.1500', '2. high': '64.2320', '3. low': '63.7700', '4. close': '63.8700', '5. volume': '4121205'}"
,"{'1. open': '63.8570', '2. high': '64.2170', '3. low': '63.6870', '4. close': '64.0660', '5. volume': '4691040'}"
,"{'1. open': '63.8800', '2. high': '64.0140', '3. low': '63.6500', '4. close': '63.7880', '5. volume': '3049823'}"
,"{'1. open': '63.9550', '2. high': '64.1490', '3. low': '63.6800', '4. close': '63.7950', '5. volume': '4513622'}"
,"{'1. open': '63.7740', '2. high': '64.0590', '3. low': '63.5970', '4. close': '63.8700', '5. volume': '6356780'}"
,"{'1. open': '63.3910', '2. high': '64.0590', '3. low': '63.2300', '4. close': '63.6900', '5. volume': '10199226'}"
,"{'1. open': '63.2930', '2. high': '63.4720', '3. low': '62.9970', '4. close': '63.3070', '5. volume': '6994052'}"
,"{'1. open': '63.2780', '2. high': '63.4120', '3. low': '63.0420', '4. close': '63.2100', '5. volume': '4077834'}"
,"{'1. open': '63.4420', '2. high': '63.5730', '3. low': '63.0720', '4. close': '63.1950', '5. volume': '5304751'}"
,"{'1. open': '63.0380', '2. high': '63.6670', '3. low': '62.8850', '4. close': '63.3600', '5. volume': '7941703'}"
,"{'1. open': '62.9100', '2. high': '63.1260', '3. low': '62.6750', '4. close': '62.9470', '5. volume': '4844575'}"
,"{'1. open': '62.8420', '2. high': '62.9830', '3. low': '62.5630', '4. close': '62.8340', '5. volume': '3894991'}"
,"{'1. open': '62.9170', '2. high': '62.9900', '3. low': '62.6530', '4. close': '62.7440', '5. volume': '271013'}"
,"{'1. open': '62.8570', '2. high': '63.0050', '3. low': '62.7050', '4. close': '62.8270', '5. volume': '290104'}"
,"{'1. open': '62.9550', '2. high': '63.0200', '3. low': '62.6900', '4. close': '62.7670', '5. volume': '539255'}"
,"{'1. open': '62.7140', '2. high': '63.0350', '3. low': '62.5630', '4. close': '62.8720', '5. volume': '398631'}"
,"{'1. open': '62.6620', '2. high': '62.7800', '3. low': '62.4730', '4. close': '62.6320', '5. volume': '192342'}"
,"{'1. open': '62.6990', '2. high': '62.7640', '3. low': '62.4800', '4. close': '62.5870', '5. volume': '344177'}"
,"{'1. open': '62.6840', '2. high': '62.8250', '3. low': '62.4950', '4. close': '62.6170', '5. volume': '189345'}"
,"{'1. open': '62.7670', '2. high': '62.8400', '3. low': '62.5100', '4. close': '62.6020', '5. volume': '360493'}"
,"{'1. open': '62.7220', '2. high': '62.9750', '3. low': '62.5550', '4. close': '62.6840', '5. volume': '645441'}"
,"{'1. open': '62.5040', '2. high': '62.8770', '3. low': '62.3450', '4. close': '62.6390', '5. volume': '497123'}"
,"{'1. open': '62.3990', '2. high': '62.5690', '3. low': '62.2400', '4. close': '62.4220', '5. volume': '169082'}"
,"{'1. open': '62.3310', '2. high': '62.4710', '3. low': '62.1650', '4. close': '62.3160', '5. volume': '372892'}"
,"{'1. open': '62.3160', '2. high': '62.4030', '3. low': '62.1050', '4. close': '62.2340', '5. volume': '23399'}"
,"{'1. open': '62.3090', '2. high': '62.4180', '3. low': '62.1200', '4. close': '62.2490', '5. volume': '69602'}"
,"{'1. open': '62.3090', '2. high': '62.4330', '3. low': '62.1350', '4. close': '62.2340', '5. volume': '123736'}"
,"{'1. open': '62.5640', '2. high': '62.6290', '3. low': '62.0750', '4. close': '62.2260', '5. volume': '361394'}"
,"{'1. open': '62.2860', '2. high': '62.3580', '3. low': '62.0680', '4. close': '62.1960', '5. volume': '40364'}"
,"{'1. open': '62.3240', '2. high': '62.6290', '3. low': '61.9400', '4. close': '62.2040', '5. volume': '617719'}"
,"{'1. open': '62.1210', '2. high': '62.4110', '3. low': '61.9630', '4. close': '62.2410', '5. volume': '151026'}"
,"{'1. open': '62.1660', '2. high': '62.2300', '3. low': '61.9030', '4. close': '61.9940', '5. volume': '268081'}"
,"{'1. open': '62.0830', '2. high': '62.2380', '3. low': '61.9330', '4. close': '62.0840', '5. volume': '44345'}"
,"{'1. open': '62.1510', '2. high': '62.2300', '3. low': '61.9100', '4. close': '62.0090', '5. volume': '409947'}"
,"{'1. open': '62.2940', '2. high': '62.3730', '3. low': '61.9850', '4. close': '62.0540', '5. volume': '268669'}"
,"{'1. open': '62.5720', '2. high': '62.6590', '3. low': '62.0150', '4. close': '62.0840', '5. volume': '221667'}"
,"{'1. open': '62.5570', '2. high': '62.6220', '3. low': '62.3900', '4. close': '62.4740', '5. volume': '21697'}"
,"{'1. open': '62.5040', '2. high': '62.6220', '3. low': '62.3230', '4. close': '62.4740', '5. volume': '54554'}"
,"{'1. open': '62.5190', '2. high': '62.6140', '3. low': '62.3450', '4. close': '62.4140', '5. volume': '66750'}"
,"{'1. open': '62.6320', '2. high': '62.7270', '3. low': '62.3900', '4. close': '62.4590', '5. volume': '124700'}"
,"{'1. open': '62.5190', '2. high': '62.7490', '3. low': '62.3680', '4. close': '62.5790', '5. volume': '103550'}"
,"{'1. open': '62.6020', '2. high': '62.6670', '3. low': '62.3080', '4. close': '62.3770', '5. volume': '234972'}"
,"{'1. open': '62.5640', '2. high': '62.6290', '3. low': '62.4130', '4. close': '62.4820', '5. volume': '2000'}"
,"{'1. open': '62.5640', '2. high': '62.6290', '3. low': '62.4130', '4. close': '62.4820', '5. volume': '200'}"
,"{'1. open': '62.6020', '2. high': '62.6670', '3. low': '62.4500', '4. close': '62.5190', '5. volume': '1000'}"
,"{'1. open': '62.4890', '2. high': '62.6060', '3. low': '62.3380', '4. close': '62.4590', '5. volume': '7000'}"
,"{'1. open': '62.4660', '2. high': '62.5390', '3. low': '62.3150', '4. close': '62.3920', '5. volume': '8000'}"
,"{'1. open': '62.4960', '2. high': '62.5690', '3. low': '62.3450', '4. close': '62.4220', '5. volume': '7000'}"
,"{'1. open': '62.5270', '2. high': '62.5910', '3. low': '62.3530', '4. close': '62.4220', '5. volume': '20000'}"
,"{'1. open': '62.4290', '2. high': '62.4940', '3. low': '62.2780', '4. close': '62.3460', '5. volume': '200'}"
,"{'1. open': '62.4060', '2. high': '62.4710', '3. low': '62.2400', '4. close': '62.3090', '5. volume': '35000'}"
,"{'1. open': '62.5190', '2. high': '62.5840', '3. low': '62.3680', '4. close': '62.4370', '5. volume': '100'}"
,"{'1. open': '62.5790', '2. high': '62.6440', '3. low': '62.3900', '4. close': '62.4590', '5. volume': '200'}"
,"{'1. open': '62.6020', '2. high': '62.6670', '3. low': '62.4500', '4. close': '62.5190', '5. volume': '100'}"
,"{'1. open': '62.6090', '2. high': '62.6740', '3. low': '62.4200', '4. close': '62.4970', '5. volume': '400'}"
,"{'1. open': '62.3240', '2. high': '62.3880', '3. low': '62.1730', '4. close': '62.2410', '5. volume': '1000'}"
,"{'1. open': '62.0600', '2. high': '62.1250', '3. low': '61.9100', '4. close': '61.9790', '5. volume': '100'}"
,"{'1. open': '62.0530', '2. high': '62.1170', '3. low': '61.9030', '4. close': '61.9710', '5. volume': '100'}"
,"{'1. open': '62.2480', '2. high': '62.3130', '3. low': '61.9480', '4. close': '62.0160', '5. volume': '2120'}"
,"{'1. open': '62.2860', '2. high': '62.3510', '3. low': '62.0450', '4. close': '62.1660', '5. volume': '1050'}"
,"{'1. open': '62.2030', '2. high': '62.3130', '3. low': '62.0530', '4. close': '62.1660', '5. volume': '1525'}"
,"{'1. open': '62.2110', '2. high': '62.2980', '3. low': '62.0300', '4. close': '62.1510', '5. volume': '600'}"
,"{'1. open': '62.2480', '2. high': '62.3280', '3. low': '62.0980', '4. close': '62.1810', '5. volume': '1426'}"
,"{'1. open': '62.2480', '2. high': '62.3130', '3. low': '62.0980', '4. close': '62.1660', '5. volume': '1700'}"
,"{'1. open': '62.2330', '2. high': '62.2980', '3. low': '62.0830', '4. close': '62.1510', '5. volume': '100'}"
,"{'1. open': '62.2630', '2. high': '62.3280', '3. low': '62.0450', '4. close': '62.1140', '5. volume': '1083'}"
,"{'1. open': '62.2410', '2. high': '62.3280', '3. low': '62.0300', '4. close': '62.1140', '5. volume': '5784'}"
,"{'1. open': '62.2030', '2. high': '62.2830', '3. low': '62.0530', '4. close': '62.1210', '5. volume': '1540'}"
,"{'1. open': '62.2780', '2. high': '62.3430', '3. low': '62.0900', '4. close': '62.1590', '5. volume': '500'}"
,"{'1. open': '62.2630', '2. high': '62.3280', '3. low': '62.0980', '4. close': '62.1660', '5. volume': '1914'}"
,"{'1. open': '62.2630', '2. high': '62.3580', '3. low': '62.1130', '4. close': '62.1890', '5. volume': '1900'}"
,"{'1. open': '62.2710', '2. high': '62.3430', '3. low': '62.1200', '4. close': '62.1960', '5. volume': '2000'}"
,"{'1. open': '62.2940', '2. high': '62.3580', '3. low': '62.1430', '4. close': '62.2110', '5. volume': '100'}"
,"{'1. open': '62.2940', '2. high': '62.3810', '3. low': '62.1430', '4. close': '62.2340', '5. volume': '4856'}"
,"{'1. open': '62.2710', '2. high': '62.3360', '3. low': '62.1050', '4. close': '62.1810', '5. volume': '4855'}"
,"{'1. open': '62.2630', '2. high': '62.3360', '3. low': '62.0980', '4. close': '62.1660', '5. volume': '2399'}"
,"{'1. open': '62.2710', '2. high': '62.3660', '3. low': '62.1200', '4. close': '62.2190', '5. volume': '2965'}"
,"{'1. open': '62.2780', '2. high': '62.3430', '3. low': '62.1050', '4. close': '62.1890', '5. volume': '5665'}"
,"{'1. open': '62.2780', '2. high': '62.3430', '3. low': '62.1280', '4. close': '62.1960', '5. volume': '200'}"
,"{'1. open': '62.2780', '2. high': '62.3660', '3. low': '62.1280', '4. close': '62.2190', '5. volume': '569'}"
,"{'1. open': '62.2630', '2. high': '62.3730', '3. low': '62.1130', '4. close': '62.2260', '5. volume': '1866'}"
,"{'1. open': '62.2410', '2. high': '62.3280', '3. low': '62.0750', '4. close': '62.1810', '5. volume': '3162'}"
,"{'1. open': '62.2560', '2. high': '62.3210', '3. low': '62.0900', '4. close': '62.1590', '5. volume': '1038'}"
,"{'1. open': '62.2480', '2. high': '62.3130', '3. low': '62.0900', '4. close': '62.1590', '5. volume': '1038'}"
,"{'1. open': '62.3010', '2. high': '62.3660', '3. low': '62.1050', '4. close': '62.1740', '5. volume': '6621'}"
,"{'1. open': '62.2630', '2. high': '62.3730', '3. low': '62.1130', '4. close': '62.2260', '5. volume': '22486'}"
,"{'1. open': '62.2260', '2. high': '62.3050', '3. low': '62.0750', '4. close': '62.1590', '5. volume': '4619'}"
,"{'1. open': '62.2030', '2. high': '62.3210', '3. low': '62.0230', '4. close': '62.1210', '5. volume': '9138'}"
,"{'1. open': '62.2180', '2. high': '62.2830', '3. low': '62.0530', '4. close': '62.1360', '5. volume': '4969'}"
,"{'1. open': '62.2180', '2. high': '62.2830', '3. low': '62.0530', '4. close': '62.1360', '5. volume': '2028'}"
,"{'1. open': '62.2410', '2. high': '62.3050', '3. low': '62.0600', '4. close': '62.1360', '5. volume': '5065'}"
,"{'1. open': '62.2410', '2. high': '62.3050', '3. low': '62.0600', '4. close': '62.1590', '5. volume': '8862'}"
,"{'1. open': '62.2410', '2. high': '62.3050', '3. low': '62.0830', '4. close': '62.1590', '5. volume': '960'}"
,"{'1. open': '62.2560', '2. high': '62.3210', '3. low': '62.0980', '4. close': '62.1660', '5. volume': '8105'}"
,"{'1. open': '62.2780', '2. high': '62.3660', '3. low': '62.0980', '4. close': '62.1660', '5. volume': '23186'}"
,"{'1. open': '62.2710', '2. high': '62.3510', '3. low': '62.1200', '4. close': '62.2040', '5. volume': '33829'}"
,"{'1. open': '62.2630', '2. high': '62.3360', '3. low': '62.1050', '4. close': '62.1890', '5. volume': '11538'}"
,"{'1. open': '62.2560', '2. high': '62.3280', '3. low': '62.1050', '4. close': '62.1740', '5. volume': '864'}"
,"{'1. open': '62.2630', '2. high': '62.5390', '3. low': '62.0900', '4. close': '62.1740', '5. volume': '3716433'}"
,"{'1. open': '62.2480', '2. high': '62.3360', '3. low': '62.0980', '4. close': '62.1890', '5. volume': '48739'}"
,"{'1. open': '62.2560', '2. high': '62.3280', '3. low': '62.0830', '4. close': '62.1510', '5. volume': '38051'}"
,"{'1. open': '62.2110', '2. high': '62.3210', '3. low': '62.0600', '4. close': '62.1740', '5. volume': '12819'}"
,"{'1. open': '62.2330', '2. high': '62.3210', '3. low': '61.8390', '4. close': '62.1290', '5. volume': '2281513'}"
,"{'1. open': '62.2330', '2. high': '62.5760', '3. low': '62.0010', '4. close': '62.1590', '5. volume': '411641'}"
,"{'1. open': '62.2630', '2. high': '62.6520', '3. low': '61.8950', '4. close': '62.1440', '5. volume': '1407603'}"
,"{'1. open': '62.3090', '2. high': '62.4110', '3. low': '62.0900', '4. close': '62.2040', '5. volume': '937009'}"
,"{'1. open': '62.4660', '2. high': '62.6250', '3. low': '61.8020', '4. close': '62.2340', '5. volume': '6099551'}"
,"{'1. open': '62.7140', '2. high': '62.8620', '3. low': '62.3000', '4. close': '62.3920', '5. volume': '8097111'}"
,"{'1. open': '62.5940', '2. high': '62.8170', '3. low': '62.4280', '4. close': '62.6320', '5. volume': '7120869'}"
,"{'1. open': '62.4360', '2. high': '62.6670', '3. low': '62.2480', '4. close': '62.5150', '5. volume': '3548877'}"
,"{'1. open': '62.4960', '2. high': '62.6970', '3. low': '62.2180', '4. close': '62.3540', '5. volume': '4458971'}"
,"{'1. open': '62.3540', '2. high': '62.6290', '3. low': '62.1800', '4. close': '62.4140', '5. volume': '3855279'}"
,"{'1. open': '62.2940', '2. high': '62.4710', '3. low': '62.0000', '4. close': '62.2710', '5. volume': '3689266'}"
,"{'1. open': '62.4960', '2. high': '62.6970', '3. low': '62.1280', '4. close': '62.2190', '5. volume': '3905761'}"
,"{'1. open': '62.2940', '2. high': '62.6290', '3. low': '62.0680', '4. close': '62.4220', '5. volume': '4926844'}"
,"{'1. open': '62.1880', '2. high': '62.4260', '3. low': '61.9480', '4. close': '62.2110', '5. volume': '4053799'}"
,"{'1. open': '62.0830', '2. high': '62.4110', '3. low': '61.8650', '4. close': '62.0990', '5. volume': '6161254'}"
,"{'1. open': '62.4060', '2. high': '62.5390', '3. low': '61.9330', '4. close': '62.0010', '5. volume': '4408409'}"
,"{'1. open': '62.2030', '2. high': '62.5310', '3. low': '61.9030', '4. close': '62.3240', '5. volume': '4974503'}"
,"{'1. open': '62.3160', '2. high': '62.3880', '3. low': '61.9030', '4. close': '62.1210', '5. volume': '5730387'}"
,"{'1. open': '62.6390', '2. high': '62.7120', '3. low': '62.0980', '4. close': '62.2340', '5. volume': '5995729'}"
,"{'1. open': '62.5490', '2. high': '62.8470', '3. low': '62.2930', '4. close': '62.5570', '5. volume': '3596615'}"
,"{'1. open': '62.6090', '2. high': '62.7800', '3. low': '62.2180', '4. close': '62.4590', '5. volume': '5491492'}"
,"{'1. open': '62.4590', '2. high': '62.6740', '3. low': '62.2780', '4. close': '62.5270', '5. volume': '3429512'}"
,"{'1. open': '62.8200', '2. high': '62.9600', '3. low': '62.2780', '4. close': '62.3690', '5. volume': '5093018'}"
,"{'1. open': '62.9850', '2. high': '63.0960', '3. low': '62.6150', '4. close': '62.7370', '5. volume': '3306735'}"
,"{'1. open': '62.6620', '2. high': '63.0580', '3. low': '62.4280', '4. close': '62.8870', '5. volume': '4433448'}"
,"{'1. open': '62.5940', '2. high': '62.7950', '3. low': '62.3300', '4. close': '62.5710', '5. volume': '2734073'}"
,"{'1. open': '62.8120', '2. high': '62.8770', '3. low': '62.4130', '4. close': '62.5040', '5. volume': '4086754'}"
,"{'1. open': '62.8120', '2. high': '62.9830', '3. low': '62.6380', '4. close': '62.7290', '5. volume': '2909357'}"
,"{'1. open': '63.0000', '2. high': '63.2010', '3. low': '62.6600', '4. close': '62.7370', '5. volume': '5485651'}"
,"{'1. open': '62.6620', '2. high': '63.0810', '3. low': '62.4200', '4. close': '62.9250', '5. volume': '4751784'}"
,"{'1. open': '62.7450', '2. high': '62.8320', '3. low': '62.3980', '4. close': '62.5720', '5. volume': '2938354'}"
,"{'1. open': '62.7140', '2. high': '62.9450', '3. low': '62.5180', '4. close': '62.6690', '5. volume': '3508597'}"
,"{'1. open': '62.6170', '2. high': '62.7950', '3. low': '62.4200', '4. close': '62.6240', '5. volume': '3831845'}"
,"{'1. open': '62.7370', '2. high': '62.9380', '3. low': '62.4500', '4. close': '62.5340', '5. volume': '4681570'}"
,"{'1. open': '62.4660', '2. high': '62.8170', '3. low': '62.2850', '4. close': '62.6540', '5. volume': '4120067'}"
,"{'1. open': '62.6020', '2. high': '62.8250', '3. low': '62.3080', '4. close': '62.3840', '5. volume': '3584601'}"
,"{'1. open': '62.6920', '2. high': '62.7870', '3. low': '62.3830', '4. close': '62.5270', '5. volume': '4432935'}"
,"{'1. open': '62.3610', '2. high': '62.8170', '3. low': '62.1130', '4. close': '62.6090', '5. volume': '7297192'}"
,"{'1. open': '62.0230', '2. high': '62.5390', '3. low': '61.8500', '4. close': '62.2710', '5. volume': '5715359'}"
,"{'1. open': '62.1810', '2. high': '62.2750', '3. low': '61.7750', '4. close': '61.9250', '5. volume': '2834590'}"
,"{'1. open': '61.9700', '2. high': '62.2900', '3. low': '61.6630', '4. close': '62.0990', '5. volume': '4268793'}"
,"{'1. open': '61.9630', '2. high': '62.1850', '3. low': '61.6850', '4. close': '61.8890', '5. volume': '4156725'}"
,"{'1. open': '62.1060', '2. high': '62.3730', '3. low': '61.7980', '4. close': '61.8810', '5. volume': '5738814'}"
,"{'1. open': '61.8120', '2. high': '62.2980', '3. low': '61.6030', '4. close': '62.0240', '5. volume': '4626305'}"
,"{'1. open': '61.7000', '2. high': '61.8990', '3. low': '61.5280', '4. close': '61.7230', '5. volume': '4180507'}"
,"{'1. open': '61.9480', '2. high': '62.0350', '3. low': '61.5500', '4. close': '61.6180', '5. volume': '4281945'}"
,"{'1. open': '62.1810', '2. high': '62.2600', '3. low': '61.7530', '4. close': '61.8660', '5. volume': '3160373'}"
,"{'1. open': '62.1810', '2. high': '62.3510', '3. low': '61.8950', '4. close': '62.0990', '5. volume': '4390824'}"
,"{'1. open': '61.8650', '2. high': '62.3360', '3. low': '61.7080', '4. close': '62.0990', '5. volume': '5854626'}"
,"{'1. open': '61.8950', '2. high': '62.0420', '3. low': '61.7150', '4. close': '61.7830', '5. volume': '2946227'}"
,"{'1. open': '61.6850', '2. high': '61.9970', '3. low': '61.5280', '4. close': '61.8210', '5. volume': '2894946'}"
,"{'1. open': '61.7300', '2. high': '61.8990', '3. low': '61.5280', '4. close': '61.6030', '5. volume': '3660868'}"
,"{'1. open': '61.6240', '2. high': '61.8310', '3. low': '61.4230', '4. close': '61.6410', '5. volume': '3887172'}"
,"{'1. open': '61.8580', '2. high': '61.9290', '3. low': '61.3480', '4. close': '61.5430', '5. volume': '4200858'}"
,"{'1. open': '61.8950', '2. high': '62.0570', '3. low': '61.5950', '4. close': '61.7760', '5. volume': '3711074'}"
,"{'1. open': '62.0080', '2. high': '62.0800', '3. low': '61.6400', '4. close': '61.8210', '5. volume': '3645708'}"
,"{'1. open': '61.9930', '2. high': '62.2450', '3. low': '61.8430', '4. close': '61.9340', '5. volume': '3333098'}"
,"{'1. open': '61.8950', '2. high': '62.0950', '3. low': '61.6780', '4. close': '61.9190', '5. volume': '3795888'}"
,"{'1. open': '62.0150', '2. high': '62.1700', '3. low': '61.6930', '4. close': '61.8130', '5. volume': '4058258'}"
,"{'1. open': '62.1130', '2. high': '62.2450', '3. low': '61.8350', '4. close': '61.9260', '5. volume': '4472383'}"
,"{'1. open': '62.1430', '2. high': '62.3880', '3. low': '61.9480', '4. close': '62.0310', '5. volume': '5821246'}"
,"{'1. open': '62.0380', '2. high': '62.2980', '3. low': '61.8800', '4. close': '62.0540', '5. volume': '4254179'}"
,"{'1. open': '61.8120', '2. high': '62.1250', '3. low': '61.5730', '4. close': '61.9630', '5. volume': '4127932'}"
,"{'1. open': '61.8880', '2. high': '61.9670', '3. low': '61.5730', '4. close': '61.7310', '5. volume': '4380612'}"
,"{'1. open': '61.2940', '2. high': '62.0040', '3. low': '61.1380', '4. close': '61.8040', '5. volume': '7906773'}"
,"{'1. open': '61.3540', '2. high': '61.4930', '3. low': '61.1150', '4. close': '61.2130', '5. volume': '2589682'}"
,"{'1. open': '61.2710', '2. high': '61.4700', '3. low': '61.0630', '4. close': '61.2730', '5. volume': '2705915'}"
,"{'1. open': '61.1580', '2. high': '61.3800', '3. low': '60.9130', '4. close': '61.1830', '5. volume': '2407769'}"
,"{'1. open': '61.2560', '2. high': '61.3350', '3. low': '60.9580', '4. close': '61.0850', '5. volume': '3486514'}"
,"{'1. open': '61.2790', '2. high': '61.5000', '3. low': '61.1000', '4. close': '61.1750', '5. volume': '3265072'}"
,"{'1. open': '61.6090', '2. high': '61.6880', '3. low': '61.1300', '4. close': '61.1980', '5. volume': '3979206'}"
,"{'1. open': '61.7070', '2. high': '61.8010', '3. low': '61.4300', '4. close': '61.5360', '5. volume': '3806906'}"
,"{'1. open': '61.5340', '2. high': '61.8160', '3. low': '61.2430', '4. close': '61.6330', '5. volume': '4443885'}"
,"{'1. open': '61.4370', '2. high': '61.6810', '3. low': '61.2800', '4. close': '61.4530', '5. volume': '5638384'}"
,"{'1. open': '61.3540', '2. high': '61.5530', '3. low': '61.0850', '4. close': '61.3560', '5. volume': '4856619'}"
,"{'1. open': '61.4820', '2. high': '61.5680', '3. low': '61.0780', '4. close': '61.2800', '5. volume': '4618798'}"
,"{'1. open': '61.2260', '2. high': '61.6210', '3. low': '61.0400', '4. close': '61.4010', '5. volume': '5772018'}"
,"{'1. open': '61.4290', '2. high': '61.5000', '3. low': '61.0400', '4. close': '61.1450', '5. volume': '4593273'}"
,"{'1. open': '61.0910', '2. high': '61.5080', '3. low': '60.8150', '4. close': '61.3480', '5. volume': '5245651'}"
,"{'1. open': '61.1210', '2. high': '61.2670', '3. low': '60.7250', '4. close': '61.0030', '5. volume': '4499435'}"
,"{'1. open': '60.9330', '2. high': '61.3200', '3. low': '60.7400', '4. close': '61.0400', '5. volume': '6554508'}"
,"{'1. open': '60.7300', '2. high': '61.1920', '3. low': '60.4180', '4. close': '60.8530', '5. volume': '8328523'}"
,"{'1. open': '60.8130', '2. high': '61.0560', '3. low': '60.5600', '4. close': '60.6650', '5. volume': '7938998'}"
,"{'1. open': '60.7370', '2. high': '60.8760', '3. low': '60.5150', '4. close': '60.7250', '5. volume': '761802'}"
