Meta Data,Time Series (5min)
"Intraday (5min) open, high, low, close prices and volume",
SPY,
2009-01-30 19:55:00,
5min,
Full size,
US/Eastern,
,"{'1. open': '62.2870', '2. high': '62.3810', '3. low': '61.9480', '4. close': '62.0460', '5. volume': '7447721'}"
,"{'1. open': '62.5790', '2. high': '62.7120', '3. low': '62.1350', '4. close': '62.2040', '5. volume': '4136895'}"
,"{'1. open': '62.4060', '2. high': '62.7420', '3. low': '62.2030', '4. close': '62.4900', '5. volume': '3680673'}"
,"{'1. open': '62.3840', '2. high': '62.6060', '3. low': '62.1950', '4. close': '62.3240', '5. volume': '3217280'}"
,"{'1. open': '62.4810', '2. high': '62.7270', '3. low': '62.2250', '4. close': '62.3010', '5. volume': '4634965'}"
,"{'1. open': '62.3390', '2. high': '62.6140', '3. low': '62.1880', '4. close': '62.3990', '5. volume': '2104148'}"
,"{'1. open': '62.5490', '2. high': '62.6440', '3. low': '62.1880', '4. close': '62.2560', '5. volume': '2568349'}"
,"{'1. open': '62.5870', '2. high': '62.6670', '3. low': '62.3450', '4. close': '62.4700', '5. volume': '2159842'}"
,"{'1. open': '62.6920', '2. high': '62.7720', '3. low': '62.4200', '4. close': '62.5040', '5. volume': '1968999'}"
,"{'1. open': '62.7070', '2. high': '62.8850', '3. low': '62.5180', '4. close': '62.6170', '5. volume': '2231175'}"
,"{'1. open': '62.7450', '2. high': '62.9750', '3. low': '62.4730', '4. close': '62.6240', '5. volume': '3712844'}"
,"{'1. open': '62.5270', '2. high': '62.9380', '3. low': '62.3530', '4. close': '62.6620', '5. volume': '5205673'}"
,"{'1. open': '62.5940', '2. high': '62.7040', '3. low': '62.2930', '4. close': '62.4440', '5. volume': '2018995'}"
,"{'1. open': '62.6390', '2. high': '62.7190', '3. low': '62.3380', '4. close': '62.5180', '5. volume': '1979262'}"
,"{'1. open': '62.5790', '2. high': '62.8020', '3. low': '62.3230', '4. close': '62.5490', '5. volume': '3289797'}"
,"{'1. open': '62.6690', '2. high': '62.8170', '3. low': '62.3680', '4. close': '62.4970', '5. volume': '3711908'}"
,"{'1. open': '62.5940', '2. high': '62.8320', '3. low': '62.4130', '4. close': '62.5900', '5. volume': '4740985'}"
,"{'1. open': '62.4140', '2. high': '62.7640', '3. low': '62.2030', '4. close': '62.5120', '5. volume': '3360601'}"
,"{'1. open': '62.4510', '2. high': '62.6140', '3. low': '62.1740', '4. close': '62.3310', '5. volume': '3162146'}"
,"{'1. open': '62.4210', '2. high': '62.5540', '3. low': '62.1650', '4. close': '62.3690', '5. volume': '4307746'}"
,"{'1. open': '62.4060', '2. high': '62.5460', '3. low': '62.0680', '4. close': '62.3460', '5. volume': '6444043'}"
,"{'1. open': '62.6240', '2. high': '62.7270', '3. low': '62.2330', '4. close': '62.3310', '5. volume': '6315296'}"
,"{'1. open': '62.7600', '2. high': '62.8400', '3. low': '62.2930', '4. close': '62.5420', '5. volume': '6789613'}"
,"{'1. open': '63.0150', '2. high': '63.0810', '3. low': '62.4280', '4. close': '62.6770', '5. volume': '7393037'}"
,"{'1. open': '63.0750', '2. high': '63.1630', '3. low': '62.8550', '4. close': '62.9320', '5. volume': '1536836'}"
,"{'1. open': '63.2030', '2. high': '63.2690', '3. low': '62.8250', '4. close': '62.9960', '5. volume': '3613394'}"
,"{'1. open': '63.2710', '2. high': '63.3740', '3. low': '62.9900', '4. close': '63.1200', '5. volume': '2862614'}"
,"{'1. open': '63.1200', '2. high': '63.3590', '3. low': '62.9600', '4. close': '63.1870', '5. volume': '5204073'}"
,"{'1. open': '62.9930', '2. high': '63.1860', '3. low': '62.7650', '4. close': '63.0220', '5. volume': '2952343'}"
,"{'1. open': '62.8870', '2. high': '63.1110', '3. low': '62.7310', '4. close': '62.9100', '5. volume': '2474154'}"
,"{'1. open': '62.9400', '2. high': '63.0350', '3. low': '62.7130', '4. close': '62.8040', '5. volume': '1456648'}"
,"{'1. open': '62.8050', '2. high': '63.0350', '3. low': '62.6450', '4. close': '62.8640', '5. volume': '2085249'}"
,"{'1. open': '62.7970', '2. high': '62.9070', '3. low': '62.6230', '4. close': '62.7230', '5. volume': '668624'}"
,"{'1. open': '62.7750', '2. high': '62.9150', '3. low': '62.6150', '4. close': '62.7140', '5. volume': '1659880'}"
,"{'1. open': '62.8570', '2. high': '62.9530', '3. low': '62.5700', '4. close': '62.6920', '5. volume': '2465458'}"
,"{'1. open': '62.8570', '2. high': '62.9830', '3. low': '62.6900', '4. close': '62.7740', '5. volume': '1338813'}"
,"{'1. open': '62.8800', '2. high': '62.9900', '3. low': '62.6900', '4. close': '62.7740', '5. volume': '1526163'}"
,"{'1. open': '62.8610', '2. high': '62.9830', '3. low': '62.6600', '4. close': '62.7890', '5. volume': '2013405'}"
,"{'1. open': '62.6840', '2. high': '62.9530', '3. low': '62.5250', '4. close': '62.7750', '5. volume': '3184596'}"
,"{'1. open': '62.5380', '2. high': '62.7640', '3. low': '62.3600', '4. close': '62.6020', '5. volume': '1741447'}"
,"{'1. open': '62.6920', '2. high': '62.7950', '3. low': '62.3830', '4. close': '62.4590', '5. volume': '2489804'}"
,"{'1. open': '62.6920', '2. high': '62.7950', '3. low': '62.4650', '4. close': '62.6090', '5. volume': '1618207'}"
,"{'1. open': '62.7370', '2. high': '62.8100', '3. low': '62.4950', '4. close': '62.6090', '5. volume': '1845600'}"
,"{'1. open': '62.6390', '2. high': '62.8400', '3. low': '62.3750', '4. close': '62.6540', '5. volume': '2913209'}"
,"{'1. open': '62.5490', '2. high': '62.7270', '3. low': '62.3900', '4. close': '62.5570', '5. volume': '2210404'}"
,"{'1. open': '62.5570', '2. high': '62.6590', '3. low': '62.3300', '4. close': '62.4670', '5. volume': '2564616'}"
,"{'1. open': '62.4510', '2. high': '62.6370', '3. low': '62.2780', '4. close': '62.4740', '5. volume': '2669619'}"
,"{'1. open': '62.5570', '2. high': '62.7070', '3. low': '62.2030', '4. close': '62.3770', '5. volume': '6337026'}"
,"{'1. open': '62.5870', '2. high': '62.6670', '3. low': '62.3300', '4. close': '62.4820', '5. volume': '2987543'}"
,"{'1. open': '62.7450', '2. high': '62.8620', '3. low': '62.4160', '4. close': '62.5040', '5. volume': '4207627'}"
,"{'1. open': '62.9250', '2. high': '62.9900', '3. low': '62.5550', '4. close': '62.6620', '5. volume': '3307415'}"
,"{'1. open': '63.0000', '2. high': '63.0730', '3. low': '62.7430', '4. close': '62.8420', '5. volume': '3052484'}"
,"{'1. open': '62.8270', '2. high': '63.1030', '3. low': '62.6750', '4. close': '62.9170', '5. volume': '3762059'}"
,"{'1. open': '62.7820', '2. high': '62.9450', '3. low': '62.6300', '4. close': '62.7520', '5. volume': '2490152'}"
,"{'1. open': '62.7750', '2. high': '62.8700', '3. low': '62.4500', '4. close': '62.6990', '5. volume': '3959093'}"
,"{'1. open': '62.8650', '2. high': '62.9830', '3. low': '62.5700', '4. close': '62.6990', '5. volume': '3428861'}"
,"{'1. open': '62.7670', '2. high': '62.9450', '3. low': '62.6150', '4. close': '62.7820', '5. volume': '5166131'}"
,"{'1. open': '62.7220', '2. high': '62.9230', '3. low': '62.5400', '4. close': '62.6840', '5. volume': '4763847'}"
,"{'1. open': '62.8350', '2. high': '62.9300', '3. low': '62.4950', '4. close': '62.6470', '5. volume': '5768574'}"
,"{'1. open': '63.0980', '2. high': '63.2160', '3. low': '62.6600', '4. close': '62.7520', '5. volume': '6119009'}"
,"{'1. open': '62.9930', '2. high': '63.2250', '3. low': '62.8250', '4. close': '63.0220', '5. volume': '4198559'}"
,"{'1. open': '63.0340', '2. high': '63.2010', '3. low': '62.8100', '4. close': '62.9170', '5. volume': '5803688'}"
,"{'1. open': '63.2480', '2. high': '63.3440', '3. low': '62.8700', '4. close': '62.9470', '5. volume': '5646330'}"
,"{'1. open': '63.2480', '2. high': '63.4570', '3. low': '63.0800', '4. close': '63.1720', '5. volume': '3345153'}"
,"{'1. open': '63.3160', '2. high': '63.6600', '3. low': '63.0350', '4. close': '63.1650', '5. volume': '5034397'}"
,"{'1. open': '63.6540', '2. high': '63.8560', '3. low': '63.1620', '4. close': '63.2320', '5. volume': '5843098'}"
,"{'1. open': '63.7370', '2. high': '63.9310', '3. low': '63.4920', '4. close': '63.5700', '5. volume': '4753633'}"
,"{'1. open': '63.7590', '2. high': '64.2620', '3. low': '63.5450', '4. close': '63.6530', '5. volume': '11484670'}"
,"{'1. open': '63.8460', '2. high': '63.9460', '3. low': '63.5300', '4. close': '63.6750', '5. volume': '4555993'}"
,"{'1. open': '63.8950', '2. high': '64.1490', '3. low': '63.6870', '4. close': '63.7580', '5. volume': '5789777'}"
,"{'1. open': '63.8800', '2. high': '64.1340', '3. low': '63.5750', '4. close': '63.8100', '5. volume': '5316656'}"
,"{'1. open': '63.8040', '2. high': '63.9530', '3. low': '63.6120', '4. close': '63.7950', '5. volume': '632284'}"
,"{'1. open': '63.5560', '2. high': '63.8710', '3. low': '63.3950', '4. close': '63.7130', '5. volume': '314517'}"
,"{'1. open': '63.6840', '2. high': '63.7650', '3. low': '63.3650', '4. close': '63.4730', '5. volume': '693770'}"
,"{'1. open': '63.6920', '2. high': '63.8480', '3. low': '63.5150', '4. close': '63.6000', '5. volume': '238156'}"
,"{'1. open': '63.6390', '2. high': '63.8480', '3. low': '63.4700', '4. close': '63.6150', '5. volume': '378260'}"
,"{'1. open': '63.8190', '2. high': '63.8860', '3. low': '63.4470', '4. close': '63.5480', '5. volume': '1023303'}"
,"{'1. open': '63.7220', '2. high': '63.9010', '3. low': '63.5070', '4. close': '63.7430', '5. volume': '655646'}"
,"{'1. open': '63.7440', '2. high': '63.9010', '3. low': '63.5600', '4. close': '63.6380', '5. volume': '413321'}"
,"{'1. open': '63.5190', '2. high': '63.8100', '3. low': '63.3500', '4. close': '63.6530', '5. volume': '732460'}"
,"{'1. open': '63.5490', '2. high': '63.6220', '3. low': '63.2300', '4. close': '63.4350', '5. volume': '899781'}"
